video_id,view_count,likes,dislikes,comment_count,views_per_day,likes_per_view,days_to_trend,title_score,title_avg_logprobs,description_score,description_avg_logprobs,tags_score,tags_avg_logprobs,category_encoded,month_encoded,day_encoded,youtube_link
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-30.02155876159668,-0.2440777135089161,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-30.02155876159668,-0.2440777135089161,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-30.02155876159668,-0.2440777135089161,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-30.02155876159668,-0.2440777135089161,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-30.02155876159668,-0.2440777135089161,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-30.02155876159668,-0.2440777135089161,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2383076,41468,0,2008,476615.2,0.0174010396647022,5,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,4,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2279639,38788,0,1887,759879.6666666665,0.0170149747394214,3,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,1,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2163971,36537,0,1802,1081985.5,0.0168842373580791,2,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,5,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,1695542,33049,0,1560,1695542.0,0.0194917023583019,1,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-29.59312438964844,-0.2348660665845114,11,24,7,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-29.59312438964844,-0.2348660665845114,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-18.046806335449215,-0.2005200703938802,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
o7SZN-djyRA,2334886,40183,0,1940,583721.5,0.0172098337991662,4,-28.070417404174805,-0.2282147756436976,-30.9305419921875,-0.262123237221928,-33.38102722167969,-0.271390465216908,11,24,3,https://www.youtube.com/watch?v=o7SZN-djyRA
